crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10084,2,3,0,0,0,0,0,0,0,0,0,0,0,3,13.783333333333333
Crew_10085,7,1,0,0,0,0,0,0,0,0,0,0,0,5,24.966666666666665
Crew_10086,3,0,0,0,0,0,0,0,0,0,0,0,0,3,20.049999999999997
Crew_10087,5,1,0,0,0,0,0,0,0,0,0,0,0,5,29.550000000000004
Crew_10088,6,0,0,0,0,0,0,0,0,0,0,0,0,5,28.6
Crew_10089,6,1,0,0,0,0,0,0,0,0,0,0,0,5,27.766666666666666
Crew_10090,6,0,0,0,0,0,0,0,0,0,0,0,0,5,30.55
Crew_10091,5,0,0,0,0,0,0,0,0,0,0,0,0,5,27.6
Crew_10092,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11.6
Crew_10093,7,1,0,0,0,0,0,0,0,0,0,0,0,5,28.83333333333333
Crew_10094,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.85
Crew_10095,7,0,0,0,0,0,0,0,0,0,0,0,0,4,18.51666666666667
Crew_10096,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13.850000000000001
Crew_10097,7,1,0,0,0,0,0,0,0,0,0,0,0,5,23.233333333333334
Crew_10098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.266666666666667
Crew_10099,3,0,0,0,0,0,0,0,0,0,0,0,0,5,29.583333333333336
Crew_10100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.699999999999999
Crew_10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10103,5,0,0,0,0,0,0,0,0,0,0,0,0,5,27.983333333333334
Crew_10104,6,0,0,0,0,0,0,0,0,0,0,0,0,4,21.216666666666665
Crew_10105,6,0,0,0,0,0,0,0,0,0,0,0,0,5,31.91666666666666
Crew_10106,6,0,0,0,0,0,0,0,0,0,0,0,0,5,30.56666666666667
